Ticker,Sector,CUSIP,Related Tickers,Name,Exchange,Ticker Change Date,Last Updated,Industry,SIC,Currency,First Added,Location,Perma Ticker,Fama Industry,Delisted From,Prior Tickers,Is Foreign
ABAC,Consumer Goods,"G8883T104,G0404E104,G0404E112",OINK,"AOXIN TIANLI GROUP, INC.",NASDAQ,None,5/12/17,Food - Major Diversified,200,USD,1/5/15,CHINA,193000,Agriculture,None,None,N
ABAX,Healthcare,2567105,None,ABAXIS INC,NASDAQ,None,5/30/17,Diagnostic Substances,3829,USD,12/4/14,"CALIFORNIA, U.S.A",197860,Measuring and Control Equipment,None,None,N
ABBV,Healthcare,"00287Y109,00287T209",None,AbbVie Inc.,NYSE,None,5/5/17,Drug Manufacturers - Major,2834,USD,10/2/14,"ILLINOIS, U.S.A",191883,Pharmaceutical Products,None,None,N
ABC,Services,"03073E105,03071P102,3073E1080",None,AMERISOURCEBERGEN CORP,NYSE,None,5/4/17,Drugs Wholesale,5122,USD,11/1/14,"PENNSYLVANIA, U.S.A",195812,Wholesale,None,None,N
ABCB,Financial,03076K108,None,Ameris Bancorp,NASDAQ,None,5/10/17,Regional - Mid-Atlantic Banks,6022,USD,10/11/14,"GEORGIA, U.S.A",199032,Banking,None,None,N
ABCD,Technology,13201A107,None,"CAMBIUM LEARNING GROUP, INC.",NASDAQ,None,5/5/17,Internet Software & Services,2741,USD,12/16/14,"TEXAS, U.S.A",193206,Printing and Publishing,None,None,N
ABCO,Technology,00762W107,None,ADVISORY BOARD CO,NASDAQ,None,5/9/17,Information Technology Services,8741,USD,11/5/14,"DISTRICT OF COLUMBIA, U.S.A",195751,Business Services,None,None,N
ABCP,Industrial Goods,23164106,None,AMBASE CORP,OTCMKTS,None,5/11/17,Auto Parts,6512,USD,2/17/16,"CONNECTICUT, U.S.A",199843,Real Estate,None,None,N
ABEO,Healthcare,"00431M308,00289Y107",ACCP,ABEONA THERAPEUTICS INC.,NASDAQ,None,5/15/17,Drug Manufacturers - Other,2834,USD,4/20/17,"TEXAS, U.S.A",124221,Pharmaceutical Products,None,None,N
ABG,Services,43436104,None,ASBURY AUTOMOTIVE GROUP INC,NYSE,None,4/27/17,Auto Dealerships,5500,USD,10/24/14,"GEORGIA, U.S.A",195771,Retail,None,None,N
ABIO,Healthcare,"00211Y209,00211Y407,00211Y100",NUVO,"ARCA biopharma, Inc.",NASDAQ,None,5/15/17,Biotechnology,2835,USD,12/8/15,"COLORADO, U.S.A",197608,Pharmaceutical Products,None,None,N
ABM,Services,957100,None,ABM INDUSTRIES INC,NYSE,None,6/8/17,Business Services,7340,USD,10/13/14,"NEW YORK, U.S.A",198579,Business Services,None,None,N
ABMC,Healthcare,24600108,None,AMERICAN BIO MEDICA CORP,OTCMKTS,None,5/15/17,Drug Manufacturers - Other,2834,USD,1/19/15,"NEW YORK, U.S.A",197674,Pharmaceutical Products,None,None,N
ABMD,Healthcare,3654100,None,ABIOMED INC,NASDAQ,None,5/25/17,Medical Appliances & Equipment,3841,USD,10/14/14,"MASSACHUSETTS, U.S.A",198315,Medical Equipment,None,None,N
ABMT,Healthcare,00752M101,None,Advanced Biomedical Technologies Inc.,OTCMKTS,None,6/19/17,Medical Instruments & Supplies,3842,USD,11/21/16,"NEW YORK, U.S.A",124572,Medical Equipment,None,None,N
ABR,Financial,"38,923,108,038,923,800",None,ARBOR REALTY TRUST INC,NYSE,None,5/6/17,REIT - Diversified,6798,USD,12/29/14,"NEW YORK, U.S.A",195368,Trading,None,None,N
ABT,Healthcare,"002824100,002824126,002819AC4",None,ABBOTT LABORATORIES,NYSE,None,5/3/17,Medical Appliances & Equipment,2834,USD,9/23/14,"ILLINOIS, U.S.A",199997,Pharmaceutical Products,None,None,N
ABTL,Services,"05275N205,05275N106",None,AUTOBYTEL INC,NASDAQ,None,5/5/17,Business Services,7370,USD,12/11/14,"CALIFORNIA, U.S.A",196978,Business Services,None,None,N
ABTX,None,01748H107,None,"Allegiance Bancshares, Inc.",NASDAQ,None,5/6/17,None,6022,USD,4/15/16,"TEXAS, U.S.A",157033,Banking,None,None,N
ABUS,Healthcare,"87911B209,03879J100,87911B951",TKMR,Arbutus Biopharma Corp,NASDAQ,11/8/15,5/17/17,Drug Manufacturers - Other,2834,USD,5/27/15,"BRITISH COLUMBIA, CANADA",190908,Pharmaceutical Products,None,TKMR,N
AC,Financial,45528106,None,"Associated Capital Group, Inc.",NYSE,None,5/3/17,Asset Management,6211,USD,4/13/16,"NEW YORK, U.S.A",178908,Trading,None,None,N
ACAD,Healthcare,4225108,None,ACADIA PHARMACEUTICALS INC,NASDAQ,None,5/9/17,Biotechnology,2834,USD,10/23/14,"CALIFORNIA, U.S.A",196494,Pharmaceutical Products,None,None,N
ACBI,Financial,48269203,None,"Atlantic Capital Bancshares, Inc.",NASDAQ,None,5/9/17,Regional - Mid-Atlantic Banks,6022,USD,4/16/16,"GEORGIA, U.S.A",156999,Banking,None,None,N
ACC,Financial,24835100,None,AMERICAN CAMPUS COMMUNITIES INC,NYSE,None,5/6/17,REIT - Residential,6798,USD,3/19/15,"TEXAS, U.S.A",195193,Trading,None,None,N
ACCO,Consumer Goods,00081T108,None,ACCO BRANDS Corp,NYSE,None,5/9/17,Office Supplies,2780,USD,10/12/14,"ILLINOIS, U.S.A",198896,Printing and Publishing,None,None,N
ACET,Basic Materials,4446100,None,ACETO CORP,NASDAQ,None,5/6/17,Chemicals - Major Diversified,5122,USD,9/23/14,"NEW YORK, U.S.A",199995,Wholesale,None,None,N
ACFC,Financial,48426100,None,Atlantic Coast Financial CORP,NASDAQ,None,5/10/17,Investment Brokerage - National,6035,USD,1/12/15,"GEORGIA, U.S.A",193941,Banking,None,None,N
ACFN,Industrial Goods,4848107,None,"ACORN ENERGY, INC.",OTCMKTS,None,5/15/17,Aerospace/Defense Products & Services,8711,USD,11/24/16,"DELAWARE, U.S.A",124504,Business Services,None,None,N
ACGL,Financial,G0450A105,None,ARCH CAPITAL GROUP LTD.,NASDAQ,None,5/6/17,Property & Casualty Insurance,6331,USD,10/1/14,BERMUDA,197231,Insurance,None,None,N
ACHC,Healthcare,00404A109,None,"Acadia Healthcare Company, Inc.",NASDAQ,None,4/26/17,Specialized Health Services,8093,USD,10/29/14,"TENNESSEE, U.S.A",192347,Healthcare,None,None,N
ACHN,Healthcare,00448Q201,None,ACHILLION PHARMACEUTICALS INC,NASDAQ,None,5/6/17,Biotechnology,2834,USD,10/23/14,"CONNECTICUT, U.S.A",196497,Pharmaceutical Products,None,None,N
ACIA,None,00401C108,None,"Acacia Communications, Inc.",NASDAQ,None,5/9/17,None,3674,USD,3/5/17,"MASSACHUSETTS, U.S.A",124358,Electronic Equipment,None,None,N
ACIW,Technology,4498101,None,"ACI WORLDWIDE, INC.",NASDAQ,None,5/5/17,Technical & System Software,7372,USD,9/30/14,"FLORIDA, U.S.A",197309,Business Services,None,None,N
ACLS,Technology,"54,540,109,054,540,200",None,AXCELIS TECHNOLOGIES INC,NASDAQ,None,5/6/17,Semiconductor Equipment & Materials,3559,USD,9/11/15,"MASSACHUSETTS, U.S.A",196041,Machinery,None,None,N
ACLZ,None,"00430M101,00435A102",None,Accelerize Inc.,OTCBB,None,5/11/17,None,7389,USD,4/19/17,"CALIFORNIA, U.S.A",124234,Business Services,None,None,N
ACM,Services,00766T100,None,AECOM,NYSE,None,5/10/17,Technical Services,8711,USD,10/8/14,"CALIFORNIA, U.S.A",197977,Business Services,None,None,N
ACMC,Financial,02513P100,ACMC.PK,AMERICAN CHURCH MORTGAGE CO,OTCMKTS,None,5/16/17,Property Management,6500,USD,11/23/16,"MINNESOTA, U.S.A",124547,Real Estate,None,None,N
ACN,Technology,"G1150G111,G1151C101",None,Accenture plc,NYSE,None,6/22/17,Information Technology Services,7389,USD,11/1/14,IRELAND,193203,Business Services,None,None,N
ACNB,Financial,868109,None,ACNB CORP,NASDAQ,None,4/28/17,Asset Management,6022,USD,12/15/14,"PENNSYLVANIA, U.S.A",198872,Banking,None,None,N
ACOR,Healthcare,"000484M10,00484M106",None,ACORDA THERAPEUTICS INC,NASDAQ,None,5/9/17,Biotechnology,2836,USD,12/12/14,"NEW YORK, U.S.A",197108,Pharmaceutical Products,None,None,N
ACRE,Financial,04013V108,None,Ares Commercial Real Estate Corp,NYSE,None,5/2/17,REIT - Diversified,6798,USD,5/29/15,"NEW YORK, U.S.A",192195,Trading,None,None,N
ACRS,Healthcare,00461U105,None,"Aclaris Therapeutics, Inc.",NASDAQ,None,5/10/17,Drug Manufacturers - Other,2834,USD,4/13/16,"PENNSYLVANIA, U.S.A",157057,Pharmaceutical Products,None,None,N
ACRX,Healthcare,00444T100,None,ACELRX PHARMACEUTICALS INC,NASDAQ,None,5/8/17,Medical Appliances & Equipment,2834,USD,4/2/15,"CALIFORNIA, U.S.A",193601,Pharmaceutical Products,None,None,N
ACSF,Financial,02504D108,None,"American Capital Senior Floating, Ltd.",NASDAQ,None,5/10/17,"Management Investment Offices, Open-En",6722,USD,5/30/15,"MARYLAND, U.S.A",187496,Trading,None,None,N
ACTA,Technology,"44928D108,005094107,46059C205",ICGE,Actua Corp,NASDAQ,None,5/8/17,Application Software,8742,USD,10/31/16,"PENNSYLVANIA, U.S.A",124743,Business Services,None,None,N
ACTG,Services,3881307,None,ACACIA RESEARCH CORP,NASDAQ,None,5/10/17,Business Services,6794,USD,10/20/14,"CALIFORNIA, U.S.A",197313,Trading,None,None,N
ACU,Consumer Goods,4816104,None,ACME UNITED CORP,NYSEMKT,None,5/12/17,Housewares & Accessories,3420,USD,10/30/14,"CONNECTICUT, U.S.A",199994,Construction Materials,None,None,N
ACUR,Healthcare,"00509L703,00509L802",None,"ACURA PHARMACEUTICALS, INC",NASDAQ,None,5/12/17,Drug Manufacturers - Other,2834,USD,11/18/14,"ILLINOIS, U.S.A",198518,Pharmaceutical Products,None,None,N
ACXM,Technology,5125109,None,ACXIOM CORP,NASDAQ,None,5/26/17,Information Technology Services,7374,USD,3/19/15,"ARKANSAS, U.S.A",198734,Business Services,None,None,N
ACY,Services,7737109,None,AEROCENTURY CORP,NYSEMKT,None,5/11/17,"Specialty Retail, Other",7359,USD,12/22/14,"CALIFORNIA, U.S.A",196870,Business Services,None,None,N
ADAP,None,"75N996220,00653A107",None,Adaptimmune Therapeutics PLC,NASDAQ,None,5/10/17,None,2836,USD,1/20/16,UNITED KINGDOM,124348,Pharmaceutical Products,None,None,N
ADAT,Services,"52,666,203,052,666,300,000,000,000",None,AUTHENTIDATE HOLDING CORP,OTCMKTS,None,6/23/17,Business Services,7373,USD,5/1/16,"NEW JERSEY, U.S.A",197819,Computers,None,None,N
ADBE,Technology,00724F101,None,ADOBE SYSTEMS INC,NASDAQ,None,3/29/17,Application Software,7372,USD,9/24/14,"CALIFORNIA, U.S.A",198450,Business Services,None,None,N
ADC,Financial,8492100,None,AGREE REALTY CORP,NYSE,None,4/24/17,Property Management,6798,USD,12/3/14,"MICHIGAN, U.S.A",197501,Trading,None,None,N
ADI,Technology,32654105,None,ANALOG DEVICES INC,NASDAQ,None,5/31/17,Semiconductor - Integrated Circuits,3674,USD,9/23/14,"MASSACHUSETTS, U.S.A",199958,Electronic Equipment,None,None,N
ADK,Healthcare,00650W300,None,"ADCARE HEALTH SYSTEMS, INC",NYSEMKT,None,5/15/17,Long-Term Care Facilities,8051,USD,12/11/14,"GEORGIA, U.S.A",197146,Healthcare,None,None,N
ADM,Consumer Goods,"039483102,394831028,4VX994E19",None,ARCHER DANIELS MIDLAND CO,NYSE,None,5/2/17,Farm Products,2070,USD,9/23/14,"ILLINOIS, U.S.A",199944,Food Products,None,None,N
ADMA,Healthcare,899104,None,"ADMA BIOLOGICS, INC.",NASDAQ,None,5/12/17,Drugs - Generic,2836,USD,12/9/15,"NEW JERSEY, U.S.A",194405,Pharmaceutical Products,None,None,N
ADMG,Consumer Goods,00548B104,UHFI,ADAMANT DRI PROCESSING & MINERALS GROUP,OTCMKTS,None,5/12/17,Business Equipment,1000,USD,4/17/16,CHINA,195615,Non-Metallic and Industrial Metal Mining,None,None,N
ADMP,Healthcare,00547W208,None,Adamis Pharmaceuticals Corp,NASDAQ,None,5/12/17,Drug Manufacturers - Other,2834,USD,12/9/15,"CALIFORNIA, U.S.A",197785,Pharmaceutical Products,None,None,N
ADMS,Healthcare,00548A106,None,Adamas Pharmaceuticals Inc,NASDAQ,None,5/9/17,Drug Manufacturers - Other,2834,USD,9/12/15,"CALIFORNIA, U.S.A",187821,Pharmaceutical Products,None,None,N
ADMT,Industrial Goods,None,None,"ADM TRONICS UNLIMITED, INC.",OTCMKTS,None,2/21/17,Specialty Chemicals,2891,USD,11/18/16,"NEW JERSEY, U.S.A",124605,Chemicals,None,None,N
ADNT,Basic Materials,G0084W101,None,Adient plc,NYSE,None,5/1/17,Industrial Metals & Minerals,3714,USD,2/22/17,IRELAND,124374,Automobiles and Trucks,None,None,N
ADP,Technology,"53,015,103,530,151,000",None,AUTOMATIC DATA PROCESSING INC,NASDAQ,None,5/4/17,Business Software & Services,7374,USD,9/25/14,"NEW JERSEY, U.S.A",199928,Business Services,None,None,N
ADRO,Healthcare,00739L101,None,"ADURO BIOTECH, INC.",NASDAQ,None,5/2/17,Drug Manufacturers - Other,2834,USD,3/22/16,"CALIFORNIA, U.S.A",170275,Pharmaceutical Products,None,None,N
ADS,Services,18581108,None,ALLIANCE DATA SYSTEMS CORP,NYSE,None,5/8/17,Business Services,7389,USD,10/9/14,"TEXAS, U.S.A",196147,Business Services,None,None,N
ADSK,Technology,52769106,None,AUTODESK INC,NASDAQ,None,5/31/17,Technical & System Software,7372,USD,12/19/14,"CALIFORNIA, U.S.A",198583,Business Services,None,None,N
ADSW,Industrial Goods,00790X101,None,"Advanced Disposal Services, Inc.",NYSE,None,5/8/17,Waste Management,4953,USD,3/5/17,"FLORIDA, U.S.A",124372,Almost Nothing,None,None,N
ADTN,Technology,00738A106,None,ADTRAN INC,NASDAQ,None,5/4/17,Communication Equipment,3661,USD,9/30/14,"ALABAMA, U.S.A",197392,Electronic Equipment,None,None,N
ADUS,Healthcare,6739106,None,Addus HomeCare Corp,NASDAQ,None,5/9/17,Home Health Care,8082,USD,10/29/14,"ILLINOIS, U.S.A",193193,Healthcare,None,None,N
ADVM,Healthcare,"05337G107,00773U108",AAVL,"Adverum Biotechnologies, Inc.",NASDAQ,5/16/16,5/10/17,Drugs - Generic,2836,USD,6/2/15,"CALIFORNIA, U.S.A",187492,Pharmaceutical Products,None,AAVL,N
ADXS,Healthcare,7624208,None,"Advaxis, Inc.",NASDAQ,None,6/6/17,Drug Manufacturers - Other,2834,USD,4/3/15,"NEW JERSEY, U.S.A",196164,Pharmaceutical Products,None,None,N
AE,Basic Materials,6351308,None,"ADAMS RESOURCES & ENERGY, INC.",NYSEMKT,None,5/9/17,Oil & Gas Refining & Marketing,5172,USD,9/23/14,"TEXAS, U.S.A",199993,Wholesale,None,None,N
AEE,Utilities,"023608102,02360XAM9",None,AMEREN CORP,NYSE,None,6/21/17,Diversified Utilities,4931,USD,12/17/14,"MISSOURI, U.S.A",197165,Utilities,None,None,N
AEGG,Basic Materials,25636200,None,AMERICAN ENERGY GROUP LTD,OTCMKTS,None,5/18/17,Independent Oil & Gas,1311,USD,11/1/16,"CONNECTICUT, U.S.A",124718,Coal,None,None,N
AEGN,Industrial Goods,"00770F104,457667103",INSU,Aegion Corp,NASDAQ,None,5/3/17,Heavy Construction,1623,USD,10/11/14,"MISSOURI, U.S.A",199017,Construction,None,None,N
AEHR,Technology,00760J108,None,AEHR TEST SYSTEMS,NASDAQ,None,4/7/17,Communication Equipment,3825,USD,12/15/14,"CALIFORNIA, U.S.A",196830,Measuring and Control Equipment,None,None,N
AEIS,Technology,7973100,None,ADVANCED ENERGY INDUSTRIES INC,NASDAQ,None,5/1/17,Diversified Electronics,3679,USD,10/20/14,"COLORADO, U.S.A",197384,Electronic Equipment,None,None,N
AEL,Financial,25676206,None,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,NYSE,None,5/9/17,Life Insurance,6311,USD,10/22/14,"IOWA, U.S.A",196835,Insurance,None,None,N
AEO,Services,2.55E+109,None,AMERICAN EAGLE OUTFITTERS INC,NYSE,None,5/23/17,Apparel Stores,5651,USD,10/6/14,"PENNSYLVANIA, U.S.A",197482,Retail,None,None,N
AEP,Utilities,25537101,None,AMERICAN ELECTRIC POWER CO INC,NYSE,None,4/28/17,Electric Utilities,4911,USD,12/17/14,"OHIO, U.S.A",199972,Utilities,None,None,N
AERG,Technology,03819M106,None,"APPLIED ENERGETICS, INC.",OTCMKTS,None,5/15/17,Communication Equipment,3812,USD,12/2/14,"ARIZONA, U.S.A",197886,Electronic Equipment,None,None,N
AERI,Healthcare,00771V108,None,AERIE PHARMACEUTICALS INC,NASDAQ,None,5/4/17,Drugs - Generic,2836,USD,4/2/15,"NORTH CAROLINA, U.S.A",194715,Pharmaceutical Products,None,None,N
AES,Utilities,00130H105,None,AES CORP,NYSE,None,5/8/17,Electric Utilities,4991,USD,10/9/14,"VIRGINIA, U.S.A",197941,Almost Nothing,None,None,N
AET,Healthcare,"00817Y108,008117103",None,AETNA INC,NYSE,None,5/2/17,Health Care Plans,6324,USD,12/19/14,"CONNECTICUT, U.S.A",195983,Insurance,None,None,N
AETI,Industrial Goods,25576109,None,American Electric Technologies Inc,NASDAQ,None,5/15/17,Industrial Electrical Equipment,3620,USD,2/8/16,"TEXAS, U.S.A",196786,Electrical Equipment,None,None,N
AEY,Services,6743306,None,ADDVANTAGE TECHNOLOGIES GROUP INC,NASDAQ,None,5/15/17,Industrial Equipment Wholesale,5000,USD,12/3/14,"OKLAHOMA, U.S.A",197947,Wholesale,None,None,N
AF,Financial,"046265104,US0462651",None,ASTORIA FINANCIAL CORP,NYSE,None,5/6/17,Savings & Loans,6035,USD,10/14/14,"NEW YORK, U.S.A",197588,Banking,None,None,N
AFAM,Healthcare,20409108,None,ALMOST FAMILY INC,NASDAQ,None,5/10/17,Home Health Care,8300,USD,12/4/14,"KENTUCKY, U.S.A",198430,Personal Services,None,None,N
AFG,Financial,25932104,None,AMERICAN FINANCIAL GROUP INC,NYSE,None,5/6/17,Property & Casualty Insurance,6331,USD,1/19/15,"OHIO, U.S.A",196804,Insurance,None,None,N
AFH,Financial,G06207115,None,"Atlas Financial Holdings, Inc.",NASDAQ,None,5/8/17,Property & Casualty Insurance,6331,USD,5/30/15,"ILLINOIS, U.S.A",192039,Insurance,None,None,N
AFI,Industrial Goods,04238R106,None,"Armstrong Flooring, Inc.",NYSE,None,5/9/17,General Building Materials,3089,USD,10/13/16,"PENNSYLVANIA, U.S.A",124761,Rubber and Plastic Products,None,None,N
AFL,Financial,1055102,8686,AFLAC INC,NYSE,None,5/3/17,Accident & Health Insurance,6321,USD,9/26/14,"GEORGIA, U.S.A",199969,Insurance,None,None,N
AFSI,Financial,"32,359,309,323,593,000",None,"Amtrust Financial Services, Inc.",NASDAQ,None,5/10/17,Property & Casualty Insurance,6331,USD,10/27/14,"NEW YORK, U.S.A",194444,Insurance,None,None,N
AGCO,Industrial Goods,1084102,None,AGCO CORP,NYSE,None,5/9/17,Farm & Construction Machinery,3523,USD,9/30/14,"GEORGIA, U.S.A",197879,Machinery,None,None,N
AGEN,Healthcare,"00847G101,00847G705",None,AGENUS INC,NASDAQ,None,5/7/17,Drugs - Generic,2836,USD,12/2/14,"MASSACHUSETTS, U.S.A",196184,Pharmaceutical Products,None,None,N
AGFS,Services,"10157P104,10157P203,00856G117,00856G109",BLVD,"AgroFresh Solutions, Inc.",NASDAQ,None,5/9/17,Business Services,6770,USD,3/17/17,"PENNSYLVANIA, U.S.A",124352,Trading,None,None,N
AGHI,None,None,AGHID,"Agora Holdings, Inc.",OTCMKTS,None,6/5/17,None,4899,USD,6/5/17,"ONTARIO, CANADA",124120,Communication,None,None,N
AGII,Financial,G0464B107,None,"Argo Group International Holdings, Ltd.",NASDAQ,None,5/5/17,Property & Casualty Insurance,6361,USD,11/5/16,BERMUDA,196281,Insurance,None,None,N
AGIO,Healthcare,00847X104,None,AGIOS PHARMACEUTICALS INC,NASDAQ,None,5/6/17,Drug Manufacturers - Other,2834,USD,12/15/14,"MASSACHUSETTS, U.S.A",193455,Pharmaceutical Products,None,None,N
AGLE,None,00773J103,None,"Aeglea BioTherapeutics, Inc.",NASDAQ,None,5/10/17,None,2834,USD,11/10/16,"TEXAS, U.S.A",124703,Pharmaceutical Products,None,None,N
AGM,Financial,"313,148,306,313,148,000",None,FEDERAL AGRICULTURAL MORTGAGE CORP,NYSE,None,5/10/17,Credit Services,6111,USD,10/14/14,"DISTRICT OF COLUMBIA, U.S.A",198132,Banking,None,None,N
AGN,Healthcare,"184901023,00507K103,G0177J108,EP0481507,G017J1088,SBD1NQJ99,SBY9D5468,46641Q845","ACT,A60,AG4",Allergan plc,NYSE,7/12/15,5/9/17,Drug Manufacturers - Other,2834,USD,9/28/14,IRELAND,191420,Pharmaceutical Products,None,"ACT,A60,AG4",N
AGNC,Financial,"02503X105,02503X303,00123Q104,00123Q302",None,AGNC Investment Corp.,NASDAQ,None,5/8/17,REIT - Residential,6798,USD,3/21/15,"MARYLAND, U.S.A",193651,Trading,None,None,N
AGNU,Technology,"949765101,00108M102",WGA,AG&E HOLDINGS INC.,OTCMKTS,3/30/17,5/12/17,Diversified Electronics,3663,USD,10/31/14,"NEVADA, U.S.A",199220,Electronic Equipment,None,WGA,N
AGO,Financial,G0585R106,None,ASSURED GUARANTY LTD,NYSE,None,5/5/17,Surety & Title Insurance,6351,USD,10/1/14,BERMUDA,195273,Insurance,None,None,N
AGR,Utilities,05351W103,None,"Avangrid, Inc.",NYSE,None,5/6/17,Electric Utilities,4911,USD,7/3/15,"CONNECTICUT, U.S.A",157047,Utilities,None,None,N
AGRX,Healthcare,00847L100,None,AGILE THERAPEUTICS INC,NASDAQ,None,5/8/17,Drug Manufacturers - Other,2834,USD,9/17/15,"NEW JERSEY, U.S.A",187810,Pharmaceutical Products,None,None,N
AGTC,Healthcare,03820J100,None,APPLIED GENETIC TECHNOLOGIES CORP,NASDAQ,None,5/10/17,Drugs - Generic,2836,USD,9/15/15,"FLORIDA, U.S.A",187600,Pharmaceutical Products,None,None,N
AGX,Industrial Goods,"04010E109,00651F108",None,ARGAN INC,NYSE,None,6/7/17,General Contractors,1700,USD,12/8/14,"MARYLAND, U.S.A",199268,Construction,None,None,N
AGYS,Technology,00847J105,None,AGILYSYS INC,NASDAQ,None,6/2/17,Application Software,7373,USD,10/10/14,GEORGIA,199422,Computers,None,None,N
AHC,Services,1282102,None,A. H. Belo Corp,NYSE,None,5/4/17,Publishing - Newspapers,2711,USD,9/16/15,"TEXAS, U.S.A",193800,Printing and Publishing,None,None,N
AHGP,Basic Materials,01861G100,None,"Alliance Holdings GP, L.P.",NASDAQ,None,5/8/17,Nonmetallic Mineral Mining,1221,USD,4/4/15,"OKLAHOMA, U.S.A",194655,Coal,None,None,N
AHH,Financial,04208T108,None,"Armada Hoffler Properties, Inc.",NYSE,None,5/3/17,REIT - Diversified,6500,USD,5/7/15,"VIRGINIA, U.S.A",191568,Real Estate,None,None,N
AHL,Financial,"G05384105,018228122",None,ASPEN INSURANCE HOLDINGS LTD,NYSE,None,5/4/17,Property & Casualty Insurance,6331,USD,9/30/14,BERMUDA,195311,Insurance,None,None,N
AHP,Financial,44102101,None,"Ashford Hospitality Prime, Inc.",NYSE,None,5/9/17,REIT - Diversified,6798,USD,11/10/14,"TEXAS, U.S.A",191510,Trading,None,None,N
AHPA,None,"G0726L109,G0726L125",AHPAU,Avista Healthcare Public Acquisition Corp.,NASDAQ,None,5/12/17,None,6770,USD,3/28/17,"NEW YORK, U.S.A",124291,Trading,None,None,N
AHPI,Healthcare,"19,222,108,019,222,200",None,ALLIED HEALTHCARE PRODUCTS INC,NASDAQ,None,5/15/17,Medical Instruments & Supplies,3842,USD,12/3/14,"MISSOURI, U.S.A",197943,Medical Equipment,None,None,N
AHT,Financial,44103109,None,ASHFORD HOSPITALITY TRUST INC,NYSE,None,5/10/17,REIT - Hotel/Motel,6798,USD,12/29/14,"TEXAS, U.S.A",195398,Trading,None,None,N
